# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1320 93.35766541    7.37689878     g    20
2020r1320 93.35766541    7.37689878     r    20
2020i1320 93.35766541    7.37689878     i    20
2050i1320 94.76919904    4.73838752     i    20
2050r1320 94.76919904    4.73838752     r    20
2050g1320 94.76919904    4.73838752     g    20
2080g1320 96.15790785    2.09069148     g    20
2080r1320 96.15790785    2.09069148     r    20
2080i1320 96.15790785    2.09069148     i    20
2110i1320 97.52983433    -0.56451246    i    20
2110r1320 97.52983433    -0.56451246    r    20
2110g1320 97.52983433    -0.56451246    g    20
2140g1320 98.89087181    -3.22563177    g    20
2140r1320 98.89087181    -3.22563177    r    20
2140i1320 98.89087181    -3.22563177    i    20
2170i1320 100.24685016   -5.8911321     i    20
2170r1320 100.24685016   -5.8911321     r    20
2170g1320 100.24685016   -5.8911321     g    20
2200g1320 101.6036224    -8.55951219    g    20
2200r1320 101.6036224    -8.55951219    r    20
2200i1320 101.6036224    -8.55951219    i    20
2230i1320 102.96715443   -11.22927899   i    20
2230r1320 102.96715443   -11.22927899   r    20
2230g1320 102.96715443   -11.22927899   g    20
2260g1320 104.3436205    -13.89892227   g    20
2260r1320 104.3436205    -13.89892227   r    20
2260i1320 104.3436205    -13.89892227   i    20
2290i1320 105.73950697   -16.5668878    i    20
2290r1320 105.73950697   -16.5668878    r    20
2290g1320 105.73950697   -16.5668878    g    20
2320g1320 107.16172785   -19.23154822   g    20
2320r1320 107.16172785   -19.23154822   r    20
2320i1320 107.16172785   -19.23154822   i    20
2321i1320 116.35511714   -14.47179442   i    20
2321r1320 116.35511714   -14.47179442   r    20
2321g1320 116.35511714   -14.47179442   g    20
2291g1320 114.84909508   -11.8676266    g    20
2291r1320 114.84909508   -11.8676266    r    20
2291i1320 114.84909508   -11.8676266    i    20
2261i1320 113.38373271   -9.2490713     i    20
2261r1320 113.38373271   -9.2490713     r    20
2261g1320 113.38373271   -9.2490713     g    20
2231g1320 111.95213711   -6.61818287    g    20
2231r1320 111.95213711   -6.61818287    r    20
2231i1320 111.95213711   -6.61818287    i    20
2201i1320 110.5478075    -3.97684893    i    20
2201r1320 110.5478075    -3.97684893    r    20
2201g1320 110.5478075    -3.97684893    g    20
2171g1320 109.16454244   -1.32682329    g    20
2171r1320 109.16454244   -1.32682329    r    20
2171i1320 109.16454244   -1.32682329    i    20
2141i1320 107.79635122   1.3302442      i    20
2141r1320 107.79635122   1.3302442      r    20
2141g1320 107.79635122   1.3302442      g    20
2111g1320 106.43736755   3.99278039     g    20
2111r1320 106.43736755   3.99278039     r    20
2111i1320 106.43736755   3.99278039     i    20
2081i1320 105.08176387   6.65926302     i    20
2081r1320 105.08176387   6.65926302     r    20
