# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2231r9303	111.95213711	-6.61818287		r		20
2231i9303	111.95213711	-6.61818287		i		20
2201i9303	110.5478075		-3.97684893		i		20
2201r9303	110.5478075		-3.97684893		r		20
2201g9303	110.5478075		-3.97684893		g		20
2201g0303	110.5478075		-3.97684893		g		20
2201r0303	110.5478075		-3.97684893		r		20
2201i0303	110.5478075		-3.97684893		i		20
2231i0303	111.95213711	-6.61818287		i		20
2231r0303	111.95213711	-6.61818287		r		20
2231g0303	111.95213711	-6.61818287		g		20
2261g0303	113.38373271	-9.2490713		g		20
2261r0303	113.38373271	-9.2490713		r		20
2261i0303	113.38373271	-9.2490713		i		20
2291i0303	114.84909508	-11.8676266		i		20
2291r0303	114.84909508	-11.8676266		r		20
2291g0303	114.84909508	-11.8676266		g		20
2321g0303	116.35511714	-14.47179442	g		20
2321r0303	116.35511714	-14.47179442	r		20
2321i0303	116.35511714	-14.47179442	i		20
2351i0303	117.90918254	-17.05931638	i		20
2351r0303	117.90918254	-17.05931638	r		20
2351g0303	117.90918254	-17.05931638	g		20
2381g0303	119.51927126	-19.62768753	g		20
2381r0303	119.51927126	-19.62768753	r		20
2381i0303	119.51927126	-19.62768753	i		20
2411i0303	121.19407331	-22.17410723	i		20
2411r0303	121.19407331	-22.17410723	r		20
2411g0303	121.19407331	-22.17410723	g		20
2441g0303	122.94311091	-24.69542203	g		20
2441r0303	122.94311091	-24.69542203	r		20
2441i0303	122.94311091	-24.69542203	i		20
2471i0303	124.77686845	-27.18805908	i		20
2471r0303	124.77686845	-27.18805908	r		20
2471g0303	124.77686845	-27.18805908	g		20
2501g0303	126.70692823	-29.64794821	g		20
2501r0303	126.70692823	-29.64794821	r		20
2501i0303	126.70692823	-29.64794821	i		20
2500i0303	116.7270839		-35.04030633	i		20
2500r0303	116.7270839		-35.04030633	r		20
2500g0303	116.7270839		-35.04030633	g		20
2470g0303	114.95817616	-32.43861878	g		20
2470r0303	114.95817616	-32.43861878	r		20
2470i0303	114.95817616	-32.43861878	i		20
2440i0303	113.27514763	-29.82005679	i		20
2440r0303	113.27514763	-29.82005679	r		20
2440g0303	113.27514763	-29.82005679	g		20
2410g0303	111.66484927	-27.18760786	g		20
2410r0303	111.66484927	-27.18760786	r		20
2410i0303	111.66484927	-27.18760786	i		20
2380i0303	110.11577334	-24.54387809	i		20
2380r0303	110.11577334	-24.54387809	r		20
2380g0303	110.11577334	-24.54387809	g		20
2350g0303	108.61775582	-21.89117042	g		20
2350r0303	108.61775582	-21.89117042	r		20
2350i0303	108.61775582	-21.89117042	i		20
2320i0303	107.16172785	-19.23154822	i		20
2320r0303	107.16172785	-19.23154822	r		20
2320g0303	107.16172785	-19.23154822	g		20
2290g0303	105.73950697	-16.5668878		g		20
2290r0303	105.73950697	-16.5668878		r		20
2290i0303	105.73950697	-16.5668878		i		20
2260i0303	104.3436205		-13.89892227	i		20
2260r0303	104.3436205		-13.89892227	r		20
2260g0303	104.3436205		-13.89892227	g		20
2230g0303	102.96715443	-11.22927899	g		20
2230r0303	102.96715443	-11.22927899	r		20
2230i0303	102.96715443	-11.22927899	i		20
2200i0303	101.6036224		-8.55951219		i		20
2200r0303	101.6036224		-8.55951219		r		20
2200g0303	101.6036224		-8.55951219		g		20
