# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2080i3316 96.15790785    2.09069148     i    20
2110i3316 97.52983433    -0.56451246    i    20
2110r3316 97.52983433    -0.56451246    r    20
2110g3316 97.52983433    -0.56451246    g    20
2140g3316 98.89087181    -3.22563177    g    20
2140r3316 98.89087181    -3.22563177    r    20
2140i3316 98.89087181    -3.22563177    i    20
2170i3316 100.24685016   -5.8911321     i    20
2170r3316 100.24685016   -5.8911321     r    20
2170g3316 100.24685016   -5.8911321     g    20
2200g3316 101.6036224    -8.55951219    g    20
2200r3316 101.6036224    -8.55951219    r    20
2200i3316 101.6036224    -8.55951219    i    20
2230i3316 102.96715443   -11.22927899   i    20
2230r3316 102.96715443   -11.22927899   r    20
2230g3316 102.96715443   -11.22927899   g    20
2260g3316 104.3436205    -13.89892227   g    20
2260r3316 104.3436205    -13.89892227   r    20
2260i3316 104.3436205    -13.89892227   i    20
2290i3316 105.73950697   -16.5668878    i    20
2290r3316 105.73950697   -16.5668878    r    20
2290g3316 105.73950697   -16.5668878    g    20
2320g3316 107.16172785   -19.23154822   g    20
2320r3316 107.16172785   -19.23154822   r    20
2320i3316 107.16172785   -19.23154822   i    20
2321i3316 116.35511714   -14.47179442   i    20
2321r3316 116.35511714   -14.47179442   r    20
2321g3316 116.35511714   -14.47179442   g    20
2291g3316 114.84909508   -11.8676266    g    20
2291r3316 114.84909508   -11.8676266    r    20
2291i3316 114.84909508   -11.8676266    i    20
2261i3316 113.38373271   -9.2490713     i    20
2261r3316 113.38373271   -9.2490713     r    20
2261g3316 113.38373271   -9.2490713     g    20
2231g3316 111.95213711   -6.61818287    g    20
2231r3316 111.95213711   -6.61818287    r    20
2231i3316 111.95213711   -6.61818287    i    20
2201i3316 110.5478075    -3.97684893    i    20
2201r3316 110.5478075    -3.97684893    r    20
2201g3316 110.5478075    -3.97684893    g    20
2171g3316 109.16454244   -1.32682329    g    20
2171r3316 109.16454244   -1.32682329    r    20
2171i3316 109.16454244   -1.32682329    i    20
2141i3316 107.79635122   1.3302442      i    20
2141r3316 107.79635122   1.3302442      r    20
2141g3316 107.79635122   1.3302442      g    20
2111g3316 106.43736755   3.99278039     g    20
2111r3316 106.43736755   3.99278039     r    20
2111i3316 106.43736755   3.99278039     i    20
2081i3316 105.08176387   6.65926302     i    20
2081r3316 105.08176387   6.65926302     r    20
2081g3316 105.08176387   6.65926302     g    20
2051g3316 103.72366407   9.32819575     g    20
2051r3316 103.72366407   9.32819575     r    20
2051i3316 103.72366407   9.32819575     i    20
2021i3316 102.35705234   11.99808323    i    20
2021r3316 102.35705234   11.99808323    r    20
2021g3316 102.35705234   11.99808323    g    20
2021g4316 102.35705234   11.99808323    g    20
2021r4316 102.35705234   11.99808323    r    20
2021i4316 102.35705234   11.99808323    i    20
2051i4316 103.72366407   9.32819575     i    20
2051r4316 103.72366407   9.32819575     r    20
2051g4316 103.72366407   9.32819575     g    20
2081g4316 105.08176387   6.65926302     g    20
2081r4316 105.08176387   6.65926302     r    20
2081i4316 105.08176387   6.65926302     i    20
2111i4316 106.43736755   3.99278039     i    20
2111r4316 106.43736755   3.99278039     r    20
2111g4316 106.43736755   3.99278039     g    20
2141g4316 107.79635122   1.3302442      g    20
2141r4316 107.79635122   1.3302442      r    20
2141i4316 107.79635122   1.3302442      i    20
2171i4316 109.16454244   -1.32682329    i    20
2171r4316 109.16454244   -1.32682329    r    20
2171g4316 109.16454244   -1.32682329    g    20
2201g4316 110.5478075    -3.97684893    g    20
2201r4316 110.5478075    -3.97684893    r    20
2201i4316 110.5478075    -3.97684893    i    20
2231i4316 111.95213711   -6.61818287    i    20
2231r4316 111.95213711   -6.61818287    r    20
2231g4316 111.95213711   -6.61818287    g    20
2261g4316 113.38373271   -9.2490713     g    20
2261r4316 113.38373271   -9.2490713     r    20
2261i4316 113.38373271   -9.2490713     i    20
2291i4316 114.84909508   -11.8676266    i    20
2291r4316 114.84909508   -11.8676266    r    20
2291g4316 114.84909508   -11.8676266    g    20
2321g4316 116.35511714   -14.47179442   g    20
2321r4316 116.35511714   -14.47179442   r    20
2321i4316 116.35511714   -14.47179442   i    20
2320i4316 107.16172785   -19.23154822   i    20
2320r4316 107.16172785   -19.23154822   r    20
2320g4316 107.16172785   -19.23154822   g    20
2290g4316 105.73950697   -16.5668878    g    20
2290r4316 105.73950697   -16.5668878    r    20
2290i4316 105.73950697   -16.5668878    i    20
2260i4316 104.3436205    -13.89892227   i    20
2260r4316 104.3436205    -13.89892227   r    20
2260g4316 104.3436205    -13.89892227   g    20
2230g4316 102.96715443   -11.22927899   g    20
2230r4316 102.96715443   -11.22927899   r    20
2230i4316 102.96715443   -11.22927899   i    20
2200i4316 101.6036224    -8.55951219    i    20
2200r4316 101.6036224    -8.55951219    r    20
2200g4316 101.6036224    -8.55951219    g    20
2170g4316 100.24685016   -5.8911321     g    20
2170r4316 100.24685016   -5.8911321     r    20
2170i4316 100.24685016   -5.8911321     i    20
2140i4316 98.89087181    -3.22563177    i    20
2140r4316 98.89087181    -3.22563177    r    20
2140g4316 98.89087181    -3.22563177    g    20
2110g4316 97.52983433    -0.56451246    g    20
2110r4316 97.52983433    -0.56451246    r    20
2110i4316 97.52983433    -0.56451246    i    20
2080i4316 96.15790785    2.09069148     i    20
2080r4316 96.15790785    2.09069148     r    20
2080g4316 96.15790785    2.09069148     g    20
2050g4316 94.76919904    4.73838752     g    20
2050r4316 94.76919904    4.73838752     r    20
2050i4316 94.76919904    4.73838752     i    20
2020i4316 93.35766541    7.37689878     i    20
2020r4316 93.35766541    7.37689878     r    20
2020g4316 93.35766541    7.37689878     g    20
2020g5316 93.35766541    7.37689878     g    20
2020r5316 93.35766541    7.37689878     r    20
2020i5316 93.35766541    7.37689878     i    20
2050i5316 94.76919904    4.73838752     i    20
2050r5316 94.76919904    4.73838752     r    20
2050g5316 94.76919904    4.73838752     g    20
2080g5316 96.15790785    2.09069148     g    20
2080r5316 96.15790785    2.09069148     r    20
2080i5316 96.15790785    2.09069148     i    20
2110i5316 97.52983433    -0.56451246    i    20
2110r5316 97.52983433    -0.56451246    r    20
2110g5316 97.52983433    -0.56451246    g    20
2140g5316 98.89087181    -3.22563177    g    20
2140r5316 98.89087181    -3.22563177    r    20
2140i5316 98.89087181    -3.22563177    i    20
2170i5316 100.24685016   -5.8911321     i    20
2170r5316 100.24685016   -5.8911321     r    20
2170g5316 100.24685016   -5.8911321     g    20
2200g5316 101.6036224    -8.55951219    g    20
2200r5316 101.6036224    -8.55951219    r    20
2200i5316 101.6036224    -8.55951219    i    20
2230i5316 102.96715443   -11.22927899   i    20
2230r5316 102.96715443   -11.22927899   r    20
2230g5316 102.96715443   -11.22927899   g    20
2260g5316 104.3436205    -13.89892227   g    20
2260r5316 104.3436205    -13.89892227   r    20
2260i5316 104.3436205    -13.89892227   i    20
2290i5316 105.73950697   -16.5668878    i    20
2290r5316 105.73950697   -16.5668878    r    20
2290g5316 105.73950697   -16.5668878    g    20
2320g5316 107.16172785   -19.23154822   g    20
2320r5316 107.16172785   -19.23154822   r    20
2320i5316 107.16172785   -19.23154822   i    20
2321i5316 116.35511714   -14.47179442   i    20
2321r5316 116.35511714   -14.47179442   r    20
2321g5316 116.35511714   -14.47179442   g    20
2291g5316 114.84909508   -11.8676266    g    20
2291r5316 114.84909508   -11.8676266    r    20
2291i5316 114.84909508   -11.8676266    i    20
2261i5316 113.38373271   -9.2490713     i    20
2261r5316 113.38373271   -9.2490713     r    20
2261g5316 113.38373271   -9.2490713     g    20
2231g5316 111.95213711   -6.61818287    g    20
2231r5316 111.95213711   -6.61818287    r    20
2231i5316 111.95213711   -6.61818287    i    20
2201i5316 110.5478075    -3.97684893    i    20
2201r5316 110.5478075    -3.97684893    r    20
2201g5316 110.5478075    -3.97684893    g    20
2171g5316 109.16454244   -1.32682329    g    20
2171r5316 109.16454244   -1.32682329    r    20
2171i5316 109.16454244   -1.32682329    i    20
2141i5316 107.79635122   1.3302442      i    20
2141r5316 107.79635122   1.3302442      r    20
2141g5316 107.79635122   1.3302442      g    20
2111g5316 106.43736755   3.99278039     g    20
2111r5316 106.43736755   3.99278039     r    20
2111i5316 106.43736755   3.99278039     i    20
2081i5316 105.08176387   6.65926302     i    20
2081r5316 105.08176387   6.65926302     r    20
2081g5316 105.08176387   6.65926302     g    20
2051g5316 103.72366407   9.32819575     g    20
2051r5316 103.72366407   9.32819575     r    20
2051i5316 103.72366407   9.32819575     i    20
2021i5316 102.35705234   11.99808323    i    20
2021r5316 102.35705234   11.99808323    r    20
2021g5316 102.35705234   11.99808323    g    20
2021g6316 102.35705234   11.99808323    g    20
2021r6316 102.35705234   11.99808323    r    20
2021i6316 102.35705234   11.99808323    i    20
2051i6316 103.72366407   9.32819575     i    20
2051r6316 103.72366407   9.32819575     r    20
2051g6316 103.72366407   9.32819575     g    20
2081g6316 105.08176387   6.65926302     g    20
2081r6316 105.08176387   6.65926302     r    20
2081i6316 105.08176387   6.65926302     i    20
2111i6316 106.43736755   3.99278039     i    20
2111r6316 106.43736755   3.99278039     r    20
2111g6316 106.43736755   3.99278039     g    20
