# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1322 93.35766541    7.37689878     g    20
2020r1322 93.35766541    7.37689878     r    20
2020i1322 93.35766541    7.37689878     i    20
2050i1322 94.76919904    4.73838752     i    20
2050r1322 94.76919904    4.73838752     r    20
2050g1322 94.76919904    4.73838752     g    20
2080g1322 96.15790785    2.09069148     g    20
2080r1322 96.15790785    2.09069148     r    20
2080i1322 96.15790785    2.09069148     i    20
2110i1322 97.52983433    -0.56451246    i    20
2110r1322 97.52983433    -0.56451246    r    20
2110g1322 97.52983433    -0.56451246    g    20
2140g1322 98.89087181    -3.22563177    g    20
2140r1322 98.89087181    -3.22563177    r    20
2140i1322 98.89087181    -3.22563177    i    20
2170i1322 100.24685016   -5.8911321     i    20
2170r1322 100.24685016   -5.8911321     r    20
2170g1322 100.24685016   -5.8911321     g    20
2200g1322 101.6036224    -8.55951219    g    20
2200r1322 101.6036224    -8.55951219    r    20
2200i1322 101.6036224    -8.55951219    i    20
2230i1322 102.96715443   -11.22927899   i    20
2230r1322 102.96715443   -11.22927899   r    20
2230g1322 102.96715443   -11.22927899   g    20
2260g1322 104.3436205    -13.89892227   g    20
2260r1322 104.3436205    -13.89892227   r    20
2260i1322 104.3436205    -13.89892227   i    20
2290i1322 105.73950697   -16.5668878    i    20
2290r1322 105.73950697   -16.5668878    r    20
2290g1322 105.73950697   -16.5668878    g    20
2320g1322 107.16172785   -19.23154822   g    20
2320r1322 107.16172785   -19.23154822   r    20
2320i1322 107.16172785   -19.23154822   i    20
2321i1322 116.35511714   -14.47179442   i    20
2321r1322 116.35511714   -14.47179442   r    20
2321g1322 116.35511714   -14.47179442   g    20
2291g1322 114.84909508   -11.8676266    g    20
2291r1322 114.84909508   -11.8676266    r    20
2291i1322 114.84909508   -11.8676266    i    20
2261i1322 113.38373271   -9.2490713     i    20
2261r1322 113.38373271   -9.2490713     r    20
2261g1322 113.38373271   -9.2490713     g    20
2231g1322 111.95213711   -6.61818287    g    20
2231r1322 111.95213711   -6.61818287    r    20
2231i1322 111.95213711   -6.61818287    i    20
2201i1322 110.5478075    -3.97684893    i    20
2201r1322 110.5478075    -3.97684893    r    20
2201g1322 110.5478075    -3.97684893    g    20
2171g1322 109.16454244   -1.32682329    g    20
2171r1322 109.16454244   -1.32682329    r    20
2171i1322 109.16454244   -1.32682329    i    20
2141i1322 107.79635122   1.3302442      i    20
2141r1322 107.79635122   1.3302442      r    20
2141g1322 107.79635122   1.3302442      g    20
2111g1322 106.43736755   3.99278039     g    20
2111r1322 106.43736755   3.99278039     r    20
2111i1322 106.43736755   3.99278039     i    20
2081i1322 105.08176387   6.65926302     i    20
2081r1322 105.08176387   6.65926302     r    20
2081g1322 105.08176387   6.65926302     g    20
2051g1322 103.72366407   9.32819575     g    20
2051r1322 103.72366407   9.32819575     r    20
2051i1322 103.72366407   9.32819575     i    20
2021i1322 102.35705234   11.99808323    i    20
2021r1322 102.35705234   11.99808323    r    20
2021g1322 102.35705234   11.99808323    g    20
2021g2322 102.35705234   11.99808323    g    20
2021r2322 102.35705234   11.99808323    r    20
2021i2322 102.35705234   11.99808323    i    20
2051i2322 103.72366407   9.32819575     i    20
2051r2322 103.72366407   9.32819575     r    20
2051g2322 103.72366407   9.32819575     g    20
2081g2322 105.08176387   6.65926302     g    20
2081r2322 105.08176387   6.65926302     r    20
2081i2322 105.08176387   6.65926302     i    20
2111i2322 106.43736755   3.99278039     i    20
2111r2322 106.43736755   3.99278039     r    20
2111g2322 106.43736755   3.99278039     g    20
2141g2322 107.79635122   1.3302442      g    20
2141r2322 107.79635122   1.3302442      r    20
2141i2322 107.79635122   1.3302442      i    20
2171i2322 109.16454244   -1.32682329    i    20
2171r2322 109.16454244   -1.32682329    r    20
2171g2322 109.16454244   -1.32682329    g    20
2201g2322 110.5478075    -3.97684893    g    20
2201r2322 110.5478075    -3.97684893    r    20
2201i2322 110.5478075    -3.97684893    i    20
2231i2322 111.95213711   -6.61818287    i    20
2231r2322 111.95213711   -6.61818287    r    20
2231g2322 111.95213711   -6.61818287    g    20
2261g2322 113.38373271   -9.2490713     g    20
2261r2322 113.38373271   -9.2490713     r    20
2261i2322 113.38373271   -9.2490713     i    20
2291i2322 114.84909508   -11.8676266    i    20
2291r2322 114.84909508   -11.8676266    r    20
2291g2322 114.84909508   -11.8676266    g    20
2321g2322 116.35511714   -14.47179442   g    20
2321r2322 116.35511714   -14.47179442   r    20
2321i2322 116.35511714   -14.47179442   i    20
2320i2322 107.16172785   -19.23154822   i    20
2320r2322 107.16172785   -19.23154822   r    20
2320g2322 107.16172785   -19.23154822   g    20
2290g2322 105.73950697   -16.5668878    g    20
2290r2322 105.73950697   -16.5668878    r    20
2290i2322 105.73950697   -16.5668878    i    20
2260i2322 104.3436205    -13.89892227   i    20
2260r2322 104.3436205    -13.89892227   r    20
2260g2322 104.3436205    -13.89892227   g    20
2230g2322 102.96715443   -11.22927899   g    20
2230r2322 102.96715443   -11.22927899   r    20
2230i2322 102.96715443   -11.22927899   i    20
2200i2322 101.6036224    -8.55951219    i    20
2200r2322 101.6036224    -8.55951219    r    20
2200g2322 101.6036224    -8.55951219    g    20
2170g2322 100.24685016   -5.8911321     g    20
2170r2322 100.24685016   -5.8911321     r    20
2170i2322 100.24685016   -5.8911321     i    20
2140i2322 98.89087181    -3.22563177    i    20
2140r2322 98.89087181    -3.22563177    r    20
2140g2322 98.89087181    -3.22563177    g    20
2110g2322 97.52983433    -0.56451246    g    20
2110r2322 97.52983433    -0.56451246    r    20
2110i2322 97.52983433    -0.56451246    i    20
2080i2322 96.15790785    2.09069148     i    20
2080r2322 96.15790785    2.09069148     r    20
2080g2322 96.15790785    2.09069148     g    20
2050g2322 94.76919904    4.73838752     g    20
2050r2322 94.76919904    4.73838752     r    20
2050i2322 94.76919904    4.73838752     i    20
2020i2322 93.35766541    7.37689878     i    20
2020r2322 93.35766541    7.37689878     r    20
2020g2322 93.35766541    7.37689878     g    20
2020g3322 93.35766541    7.37689878     g    20
2020r3322 93.35766541    7.37689878     r    20
2020i3322 93.35766541    7.37689878     i    20
2050i3322 94.76919904    4.73838752     i    20
2050r3322 94.76919904    4.73838752     r    20
2050g3322 94.76919904    4.73838752     g    20
2080g3322 96.15790785    2.09069148     g    20
2080r3322 96.15790785    2.09069148     r    20
2080i3322 96.15790785    2.09069148     i    20
2110i3322 97.52983433    -0.56451246    i    20
2110r3322 97.52983433    -0.56451246    r    20
2110g3322 97.52983433    -0.56451246    g    20
2140g3322 98.89087181    -3.22563177    g    20
2140r3322 98.89087181    -3.22563177    r    20
2140i3322 98.89087181    -3.22563177    i    20
2170i3322 100.24685016   -5.8911321     i    20
2170r3322 100.24685016   -5.8911321     r    20
2170g3322 100.24685016   -5.8911321     g    20
2200g3322 101.6036224    -8.55951219    g    20
2200r3322 101.6036224    -8.55951219    r    20
2200i3322 101.6036224    -8.55951219    i    20
2230i3322 102.96715443   -11.22927899   i    20
2230r3322 102.96715443   -11.22927899   r    20
2230g3322 102.96715443   -11.22927899   g    20
2260g3322 104.3436205    -13.89892227   g    20
2260r3322 104.3436205    -13.89892227   r    20
2260i3322 104.3436205    -13.89892227   i    20
2290i3322 105.73950697   -16.5668878    i    20
2290r3322 105.73950697   -16.5668878    r    20
2290g3322 105.73950697   -16.5668878    g    20
2320g3322 107.16172785   -19.23154822   g    20
2320r3322 107.16172785   -19.23154822   r    20
2320i3322 107.16172785   -19.23154822   i    20
2321i3322 116.35511714   -14.47179442   i    20
2321r3322 116.35511714   -14.47179442   r    20
2321g3322 116.35511714   -14.47179442   g    20
2291g3322 114.84909508   -11.8676266    g    20
2291r3322 114.84909508   -11.8676266    r    20
2291i3322 114.84909508   -11.8676266    i    20
2261i3322 113.38373271   -9.2490713     i    20
2261r3322 113.38373271   -9.2490713     r    20
2261g3322 113.38373271   -9.2490713     g    20
2231g3322 111.95213711   -6.61818287    g    20
2231r3322 111.95213711   -6.61818287    r    20
2231i3322 111.95213711   -6.61818287    i    20
2201i3322 110.5478075    -3.97684893    i    20
2201r3322 110.5478075    -3.97684893    r    20
2201g3322 110.5478075    -3.97684893    g    20
2171g3322 109.16454244   -1.32682329    g    20
2171r3322 109.16454244   -1.32682329    r    20
2171i3322 109.16454244   -1.32682329    i    20
2141i3322 107.79635122   1.3302442      i    20
2141r3322 107.79635122   1.3302442      r    20
2141g3322 107.79635122   1.3302442      g    20
2111g3322 106.43736755   3.99278039     g    20
2111r3322 106.43736755   3.99278039     r    20
2111i3322 106.43736755   3.99278039     i    20
2081i3322 105.08176387   6.65926302     i    20
2081r3322 105.08176387   6.65926302     r    20
2081g3322 105.08176387   6.65926302     g    20
2051g3322 103.72366407   9.32819575     g    20
2051r3322 103.72366407   9.32819575     r    20
2051i3322 103.72366407   9.32819575     i    20
2021i3322 102.35705234   11.99808323    i    20
2021r3322 102.35705234   11.99808323    r    20
2021g3322 102.35705234   11.99808323    g    20
2021g4322 102.35705234   11.99808323    g    20
2021r4322 102.35705234   11.99808323    r    20
2021i4322 102.35705234   11.99808323    i    20
2051i4322 103.72366407   9.32819575     i    20
2051r4322 103.72366407   9.32819575     r    20
2051g4322 103.72366407   9.32819575     g    20
2081g4322 105.08176387   6.65926302     g    20
2081r4322 105.08176387   6.65926302     r    20
2081i4322 105.08176387   6.65926302     i    20
2111i4322 106.43736755   3.99278039     i    20
2111r4322 106.43736755   3.99278039     r    20
2111g4322 106.43736755   3.99278039     g    20
2141g4322 107.79635122   1.3302442      g    20
2141r4322 107.79635122   1.3302442      r    20
2141i4322 107.79635122   1.3302442      i    20
2171i4322 109.16454244   -1.32682329    i    20
2171r4322 109.16454244   -1.32682329    r    20
2171g4322 109.16454244   -1.32682329    g    20
2201g4322 110.5478075    -3.97684893    g    20
2201r4322 110.5478075    -3.97684893    r    20
