# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1319 93.4585000169  7.37689878   g    20
2020r1319 93.4585000169  7.37689878   r    20
2020i1319 93.4585000169  7.37689878   i    20
2050i1319 94.8695419856  4.73838752   i    20
2050r1319 94.8695419856  4.73838752   r    20
2050g1319 94.8695419856  4.73838752   g    20
2080g1319 96.2579744610  2.09069148   g    20
2080r1319 96.2579744610  2.09069148   r    20
2080i1319 96.2579744610  2.09069148   i    20
2110i1319 97.6298391839	 -0.56451246  i    20
2110r1319 97.6298391839	 -0.56451246  r    20
2110g1319 97.6298391839  -0.56451246  g    20
2140g1319 98.9910304922  -3.22563177  g    20
2140r1319 98.9910304922  -3.22563177  r    20
2140i1319 98.9910304922  -3.22563177  i	   20
2170i1319 100.3473810925 -5.8911321	  i    20
2170r1319 100.3473810925 -5.8911321	  r    20
2170g1319 100.3473810925 -5.8911321	  g    20
2200g1319 101.7047487654 -8.55951219  g    20
2200r1319 101.7047487654 -8.55951219  r    20
2200i1319 101.7047487654 -8.55951219  i    20
2230i1319 103.0691062184 -11.22927899 i    20
2230r1319 103.0691062184 -11.22927899 r    20
2230g1319 103.0691062184 -11.22927899 g    20
2260g1319 104.4466367117 -13.89892227 g    20
2260r1319 104.4466367117 -13.89892227 r    20
2260i1319 104.4466367117 -13.89892227 i    20
2290i1319 105.8438380104 -16.5668878  i    20
2290r1319 105.8438380104 -16.5668878  r    20
2290g1319 105.8438380104 -16.5668878  g    20
2320g1319 107.2676381593 -19.23154822 g    20
2320r1319 107.2676381593 -19.23154822 r    20
2320i1319 107.2676381593 -19.23154822 i    20
2321i1319 116.4583940353 -14.47179442 i    20
2321r1319 116.4583940353 -14.47179442 r    20
2321g1319 116.4583940353 -14.47179442 g    20
2291g1319 114.9512792316 -11.8676266  g    20
2291r1319 114.9512792316 -11.8676266  r    20
2291i1319 114.9512792316 -11.8676266  i    20
2261i1319 113.4850499381 -9.2490713   i    20
2261r1319 113.4850499381 -9.2490713   r    20
2261g1319 113.4850499381 -9.2490713   g    20
2231g1319 112.0528079563 -6.61818287  g    20
2231r1319 112.0528079563 -6.61818287  r    20
2231i1319 112.0528079563 -6.61818287  i    20
2201i1319 110.6480488657 -3.97684893  i    20
2201r1319 110.6480488657 -3.97684893  r    20
2201g1319 110.6480488657 -3.97684893  g    20
2171g1319 109.2645692593 -1.32682329  g    20
2171r1319 109.2645692593 -1.32682329  r    20
2171i1319 109.2645692593 -1.32682329  i    20
2141i1319 107.8963781778 1.3302442    i    20
2141r1319 107.8963781778 1.3302442    r    20
2141g1319 107.8963781778 1.3302442    g    20
2111g1319 106.5376108573 3.99278039	  g    20
2111r1319 106.5376108573 3.99278039	  r    20
2111i1319 106.5376108573 3.99278039	  i    20
2081i1319 105.1824431176 6.65926302	  i    20
2081r1319 105.1824431176 6.65926302	  r    20
2081g1319 105.1824431176 6.65926302	  g    20
2051g1319 103.8250041846 9.32819575	  g    20
2051r1319 103.8250041846 9.32819575	  r    20
2051i1319 103.8250041846 9.32819575	  i    20
2021i1319 102.4592856726 11.99808323  i    20
2021r1319 102.4592856726 11.99808323  r    20
2021g1319 102.4592856726 11.99808323  g    20
2021g2319 102.4592856726 11.99808323  g    20
2021r2319 102.4592856726 11.99808323  r    20
2021i2319 102.4592856726 11.99808323  i    20
2051i2319 103.8250041846 9.32819575   i    20
2051r2319 103.8250041846 9.32819575   r    20
2051g2319 103.8250041846 9.32819575   g    20
2081g2319 105.1824431176 6.65926302   g    20
2081r2319 105.1824431176 6.65926302   r    20
2081i2319 105.1824431176 6.65926302   i    20
2111i2319 106.5376108573 3.99278039   i    20
2111r2319 106.5376108573 3.99278039   r    20
2111g2319 106.5376108573 3.99278039   g    20
2141g2319 107.8963781778 1.3302442    g    20
2141r2319 107.8963781778 1.3302442    r    20
2141i2319 107.8963781778 1.3302442    i    20
2171i2319 109.2645692593 -1.32682329  i    20
2171r2319 109.2645692593 -1.32682329  r    20
2171g2319 109.2645692593 -1.32682329  g    20
2201g2319 110.6480488657 -3.97684893  g    20
2201r2319 110.6480488657 -3.97684893  r    20
2201i2319 110.6480488657 -3.97684893  i    20
2231i2319 112.0528079563 -6.61818287  i    20
2231r2319 112.0528079563 -6.61818287  r    20
2231g2319 112.0528079563 -6.61818287  g    20
2261g2319 113.4850499381 -9.2490713   g    20
2261r2319 113.4850499381 -9.2490713   r    20
2261i2319 113.4850499381 -9.2490713   i    20
2291i2319 114.9512792316 -11.8676266  i    20
2291r2319 114.9512792316 -11.8676266  r    20
2291g2319 114.9512792316 -11.8676266  g    20
2321g2319 116.4583940353 -14.47179442 g    20
2321r2319 116.4583940353 -14.47179442 r    20
2321i2319 116.4583940353 -14.47179442 i    20
2320i2319 107.2676381593 -19.23154822 i    20
2320r2319 107.2676381593 -19.23154822 r    20
2320g2319 107.2676381593 -19.23154822 g    20
2290g2319 105.8438380104 -16.5668878  g    20
2290r2319 105.8438380104 -16.5668878  r    20
2290i2319 105.8438380104 -16.5668878  i    20
2260i2319 104.4466367117 -13.89892227 i    20
2260r2319 104.4466367117 -13.89892227 r    20
2260g2319 104.4466367117 -13.89892227 g    20
2230g2319 103.0691062184 -11.22927899 g    20
2230r2319 103.0691062184 -11.22927899 r    20
2230i2319 103.0691062184 -11.22927899 i    20
2200i2319 101.7047487654 -8.55951219  i    20
2200r2319 101.7047487654 -8.55951219  r    20
2200g2319 101.7047487654 -8.55951219  g    20
2170g2319 100.3473810925 -5.8911321   g    20
2170r2319 100.3473810925 -5.8911321   r    20
2170i2319 100.3473810925 -5.8911321   i    20
2140i2319 98.9910304922  -3.22563177  i    20
2140r2319 98.9910304922  -3.22563177  r    20
2140g2319 98.9910304922  -3.22563177  g    20
2110g2319 97.6298391839  -0.56451246  g    20
2110r2319 97.6298391839  -0.56451246  r    20
2110i2319 97.6298391839  -0.56451246  i    20
2080i2319 96.2579744610  2.09069148   i    20
