# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1308 93.4585000169  7.37689878   g    20
2020r1308 93.4585000169  7.37689878   r    20
2020i1308 93.4585000169  7.37689878   i    20
2050i1308 94.8695419856  4.73838752   i    20
2050r1308 94.8695419856  4.73838752   r    20
2050g1308 94.8695419856  4.73838752   g    20
2080g1308 96.2579744610  2.09069148   g    20
2080r1308 96.2579744610  2.09069148   r    20
2080i1308 96.2579744610  2.09069148   i    20
2110i1308 97.6298391839	 -0.56451246  i    20
2110r1308 97.6298391839	 -0.56451246  r    20
2110g1308 97.6298391839  -0.56451246  g    20
2140g1308 98.9910304922  -3.22563177  g    20
2140r1308 98.9910304922  -3.22563177  r    20
2140i1308 98.9910304922  -3.22563177  i	   20
2170i1308 100.3473810925 -5.8911321	  i    20
2170r1308 100.3473810925 -5.8911321	  r    20
2170g1308 100.3473810925 -5.8911321	  g    20
2200g1308 101.7047487654 -8.55951219  g    20
2200r1308 101.7047487654 -8.55951219  r    20
2200i1308 101.7047487654 -8.55951219  i    20
2230i1308 103.0691062184 -11.22927899 i    20
2230r1308 103.0691062184 -11.22927899 r    20
2230g1308 103.0691062184 -11.22927899 g    20
2260g1308 104.4466367117 -13.89892227 g    20
2260r1308 104.4466367117 -13.89892227 r    20
2260i1308 104.4466367117 -13.89892227 i    20
2290i1308 105.8438380104 -16.5668878  i    20
2290r1308 105.8438380104 -16.5668878  r    20
2290g1308 105.8438380104 -16.5668878  g    20
2320g1308 107.2676381593 -19.23154822 g    20
2320r1308 107.2676381593 -19.23154822 r    20
2320i1308 107.2676381593 -19.23154822 i    20
2321i1308 116.4583940353 -14.47179442 i    20
2321r1308 116.4583940353 -14.47179442 r    20
2321g1308 116.4583940353 -14.47179442 g    20
2291g1308 114.9512792316 -11.8676266  g    20
2291r1308 114.9512792316 -11.8676266  r    20
2291i1308 114.9512792316 -11.8676266  i    20
2261i1308 113.4850499381 -9.2490713   i    20
2261r1308 113.4850499381 -9.2490713   r    20
2261g1308 113.4850499381 -9.2490713   g    20
2231g1308 112.0528079563 -6.61818287  g    20
2231r1308 112.0528079563 -6.61818287  r    20
2231i1308 112.0528079563 -6.61818287  i    20
2201i1308 110.6480488657 -3.97684893  i    20
2201r1308 110.6480488657 -3.97684893  r    20
2201g1308 110.6480488657 -3.97684893  g    20
2171g1308 109.2645692593 -1.32682329  g    20
2171r1308 109.2645692593 -1.32682329  r    20
2171i1308 109.2645692593 -1.32682329  i    20
2141i1308 107.8963781778 1.3302442    i    20
2141r1308 107.8963781778 1.3302442    r    20
2141g1308 107.8963781778 1.3302442    g    20
2111g1308 106.5376108573 3.99278039	  g    20
2111r1308 106.5376108573 3.99278039	  r    20
2111i1308 106.5376108573 3.99278039	  i    20
2081i1308 105.1824431176 6.65926302	  i    20
2081r1308 105.1824431176 6.65926302	  r    20
2081g1308 105.1824431176 6.65926302	  g    20
2051g1308 103.8250041846 9.32819575	  g    20
2051r1308 103.8250041846 9.32819575	  r    20
2051i1308 103.8250041846 9.32819575	  i    20
2021i1308 102.4592856726 11.99808323  i    20
2021r1308 102.4592856726 11.99808323  r    20
2021g1308 102.4592856726 11.99808323  g    20
2021g2308 102.4592856726 11.99808323  g    20
2021r2308 102.4592856726 11.99808323  r    20
2021i2308 102.4592856726 11.99808323  i    20
2051i2308 103.8250041846 9.32819575   i    20
2051r2308 103.8250041846 9.32819575   r    20
2051g2308 103.8250041846 9.32819575   g    20
2081g2308 105.1824431176 6.65926302   g    20
2081r2308 105.1824431176 6.65926302   r    20
2081i2308 105.1824431176 6.65926302   i    20
2111i2308 106.5376108573 3.99278039   i    20
2111r2308 106.5376108573 3.99278039   r    20
2111g2308 106.5376108573 3.99278039   g    20
2141g2308 107.8963781778 1.3302442    g    20
2141r2308 107.8963781778 1.3302442    r    20
2141i2308 107.8963781778 1.3302442    i    20
2171i2308 109.2645692593 -1.32682329  i    20
2171r2308 109.2645692593 -1.32682329  r    20
2171g2308 109.2645692593 -1.32682329  g    20
2201g2308 110.6480488657 -3.97684893  g    20
2201r2308 110.6480488657 -3.97684893  r    20
2201i2308 110.6480488657 -3.97684893  i    20
2231i2308 112.0528079563 -6.61818287  i    20
2231r2308 112.0528079563 -6.61818287  r    20
2231g2308 112.0528079563 -6.61818287  g    20
2261g2308 113.4850499381 -9.2490713   g    20
2261r2308 113.4850499381 -9.2490713   r    20
2261i2308 113.4850499381 -9.2490713   i    20
2291i2308 114.9512792316 -11.8676266  i    20
2291r2308 114.9512792316 -11.8676266  r    20
2291g2308 114.9512792316 -11.8676266  g    20
2321g2308 116.4583940353 -14.47179442 g    20
2321r2308 116.4583940353 -14.47179442 r    20
2321i2308 116.4583940353 -14.47179442 i    20
2320i2308 107.2676381593 -19.23154822 i    20
2320r2308 107.2676381593 -19.23154822 r    20
2320g2308 107.2676381593 -19.23154822 g    20
2290g2308 105.8438380104 -16.5668878  g    20
2290r2308 105.8438380104 -16.5668878  r    20
2290i2308 105.8438380104 -16.5668878  i    20
2260i2308 104.4466367117 -13.89892227 i    20
2260r2308 104.4466367117 -13.89892227 r    20
2260g2308 104.4466367117 -13.89892227 g    20
2230g2308 103.0691062184 -11.22927899 g    20
2230r2308 103.0691062184 -11.22927899 r    20
2230i2308 103.0691062184 -11.22927899 i    20
2200i2308 101.7047487654 -8.55951219  i    20
2200r2308 101.7047487654 -8.55951219  r    20
2200g2308 101.7047487654 -8.55951219  g    20
2170g2308 100.3473810925 -5.8911321   g    20
2170r2308 100.3473810925 -5.8911321   r    20
2170i2308 100.3473810925 -5.8911321   i    20
2140i2308 98.9910304922  -3.22563177  i    20
2140r2308 98.9910304922  -3.22563177  r    20
2140g2308 98.9910304922  -3.22563177  g    20
2110g2308 97.6298391839  -0.56451246  g    20
2110r2308 97.6298391839  -0.56451246  r    20
2110i2308 97.6298391839  -0.56451246  i    20
2080i2308 96.2579744610  2.09069148   i    20
2080r2308 96.2579744610  2.09069148   r    20
2080g2308 96.2579744610  2.09069148   g    20
2050g2308 94.8695419856  4.73838752   g    20
2050r2308 94.8695419856  4.73838752   r    20
2050i2308 94.8695419856  4.73838752   i    20
2020i2308 93.4585000169  7.37689878   i    20
2020r2308 93.4585000169  7.37689878   r    20
2020g2308 93.4585000169  7.37689878   g    20
2020g3308 93.4585000169  7.37689878   g    20
2020r3308 93.4585000169  7.37689878   r    20
2020i3308 93.4585000169  7.37689878   i    20
2050i3308 94.8695419856  4.73838752   i    20
2050r3308 94.8695419856  4.73838752   r    20
2050g3308 94.8695419856  4.73838752   g    20
2080g3308 96.2579744610  2.09069148   g    20
2080r3308 96.2579744610  2.09069148   r    20
2080i3308 96.2579744610  2.09069148   i    20
2110i3308 97.6298391839  -0.56451246  i    20
2110r3308 97.6298391839  -0.56451246  r    20
2110g3308 97.6298391839  -0.56451246  g    20
