# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1321 93.4585000169  7.37689878   g    20
2020r1321 93.4585000169  7.37689878   r    20
2020i1321 93.4585000169  7.37689878   i    20
2050i1321 94.8695419856  4.73838752   i    20
2050r1321 94.8695419856  4.73838752   r    20
2050g1321 94.8695419856  4.73838752   g    20
2080g1321 96.2579744610  2.09069148   g    20
2080r1321 96.2579744610  2.09069148   r    20
2080i1321 96.2579744610  2.09069148   i    20
2110i1321 97.6298391839	 -0.56451246  i    20
2110r1321 97.6298391839	 -0.56451246  r    20
2110g1321 97.6298391839  -0.56451246  g    20
2140g1321 98.9910304922  -3.22563177  g    20
2140r1321 98.9910304922  -3.22563177  r    20
2140i1321 98.9910304922  -3.22563177  i	   20
2170i1321 100.3473810925 -5.8911321	  i    20
2170r1321 100.3473810925 -5.8911321	  r    20
2170g1321 100.3473810925 -5.8911321	  g    20
2200g1321 101.7047487654 -8.55951219  g    20
2200r1321 101.7047487654 -8.55951219  r    20
2200i1321 101.7047487654 -8.55951219  i    20
2230i1321 103.0691062184 -11.22927899 i    20
2230r1321 103.0691062184 -11.22927899 r    20
2230g1321 103.0691062184 -11.22927899 g    20
2260g1321 104.4466367117 -13.89892227 g    20
2260r1321 104.4466367117 -13.89892227 r    20
2260i1321 104.4466367117 -13.89892227 i    20
2290i1321 105.8438380104 -16.5668878  i    20
2290r1321 105.8438380104 -16.5668878  r    20
2290g1321 105.8438380104 -16.5668878  g    20
2320g1321 107.2676381593 -19.23154822 g    20
2320r1321 107.2676381593 -19.23154822 r    20
2320i1321 107.2676381593 -19.23154822 i    20
2321i1321 116.4583940353 -14.47179442 i    20
2321r1321 116.4583940353 -14.47179442 r    20
2321g1321 116.4583940353 -14.47179442 g    20
2291g1321 114.9512792316 -11.8676266  g    20
2291r1321 114.9512792316 -11.8676266  r    20
2291i1321 114.9512792316 -11.8676266  i    20
2261i1321 113.4850499381 -9.2490713   i    20
2261r1321 113.4850499381 -9.2490713   r    20
2261g1321 113.4850499381 -9.2490713   g    20
2231g1321 112.0528079563 -6.61818287  g    20
2231r1321 112.0528079563 -6.61818287  r    20
2231i1321 112.0528079563 -6.61818287  i    20
2201i1321 110.6480488657 -3.97684893  i    20
2201r1321 110.6480488657 -3.97684893  r    20
2201g1321 110.6480488657 -3.97684893  g    20
2171g1321 109.2645692593 -1.32682329  g    20
2171r1321 109.2645692593 -1.32682329  r    20
2171i1321 109.2645692593 -1.32682329  i    20
2141i1321 107.8963781778 1.3302442    i    20
2141r1321 107.8963781778 1.3302442    r    20
2141g1321 107.8963781778 1.3302442    g    20
2111g1321 106.5376108573 3.99278039	  g    20
2111r1321 106.5376108573 3.99278039	  r    20
2111i1321 106.5376108573 3.99278039	  i    20
2081i1321 105.1824431176 6.65926302	  i    20
2081r1321 105.1824431176 6.65926302	  r    20
