# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1323 93.4585000169  7.37689878   g    20
2020r1323 93.4585000169  7.37689878   r    20
2020i1323 93.4585000169  7.37689878   i    20
2050i1323 94.8695419856  4.73838752   i    20
2050r1323 94.8695419856  4.73838752   r    20
2050g1323 94.8695419856  4.73838752   g    20
2080g1323 96.2579744610  2.09069148   g    20
2080r1323 96.2579744610  2.09069148   r    20
2080i1323 96.2579744610  2.09069148   i    20
2110i1323 97.6298391839	 -0.56451246  i    20
2110r1323 97.6298391839	 -0.56451246  r    20
2110g1323 97.6298391839  -0.56451246  g    20
2140g1323 98.9910304922  -3.22563177  g    20
2140r1323 98.9910304922  -3.22563177  r    20
2140i1323 98.9910304922  -3.22563177  i	   20
2170i1323 100.3473810925 -5.8911321	  i    20
2170r1323 100.3473810925 -5.8911321	  r    20
2170g1323 100.3473810925 -5.8911321	  g    20
2200g1323 101.7047487654 -8.55951219  g    20
2200r1323 101.7047487654 -8.55951219  r    20
2200i1323 101.7047487654 -8.55951219  i    20
2230i1323 103.0691062184 -11.22927899 i    20
2230r1323 103.0691062184 -11.22927899 r    20
2230g1323 103.0691062184 -11.22927899 g    20
2260g1323 104.4466367117 -13.89892227 g    20
2260r1323 104.4466367117 -13.89892227 r    20
2260i1323 104.4466367117 -13.89892227 i    20
2290i1323 105.8438380104 -16.5668878  i    20
2290r1323 105.8438380104 -16.5668878  r    20
2290g1323 105.8438380104 -16.5668878  g    20
2320g1323 107.2676381593 -19.23154822 g    20
2320r1323 107.2676381593 -19.23154822 r    20
2320i1323 107.2676381593 -19.23154822 i    20
2321i1323 116.4583940353 -14.47179442 i    20
2321r1323 116.4583940353 -14.47179442 r    20
2321g1323 116.4583940353 -14.47179442 g    20
2291g1323 114.9512792316 -11.8676266  g    20
2291r1323 114.9512792316 -11.8676266  r    20
2291i1323 114.9512792316 -11.8676266  i    20
2261i1323 113.4850499381 -9.2490713   i    20
2261r1323 113.4850499381 -9.2490713   r    20
2261g1323 113.4850499381 -9.2490713   g    20
2231g1323 112.0528079563 -6.61818287  g    20
2231r1323 112.0528079563 -6.61818287  r    20
2231i1323 112.0528079563 -6.61818287  i    20
2201i1323 110.6480488657 -3.97684893  i    20
2201r1323 110.6480488657 -3.97684893  r    20
2201g1323 110.6480488657 -3.97684893  g    20
2171g1323 109.2645692593 -1.32682329  g    20
2171r1323 109.2645692593 -1.32682329  r    20
2171i1323 109.2645692593 -1.32682329  i    20
2141i1323 107.8963781778 1.3302442    i    20
2141r1323 107.8963781778 1.3302442    r    20
2141g1323 107.8963781778 1.3302442    g    20
2111g1323 106.5376108573 3.99278039	  g    20
2111r1323 106.5376108573 3.99278039	  r    20
2111i1323 106.5376108573 3.99278039	  i    20
2081i1323 105.1824431176 6.65926302	  i    20
2081r1323 105.1824431176 6.65926302	  r    20
2081g1323 105.1824431176 6.65926302	  g    20
2051g1323 103.8250041846 9.32819575	  g    20
2051r1323 103.8250041846 9.32819575	  r    20
2051i1323 103.8250041846 9.32819575	  i    20
2021i1323 102.4592856726 11.99808323  i    20
2021r1323 102.4592856726 11.99808323  r    20
2021g1323 102.4592856726 11.99808323  g    20
2021g2323 102.4592856726 11.99808323  g    20
2021r2323 102.4592856726 11.99808323  r    20
2021i2323 102.4592856726 11.99808323  i    20
2051i2323 103.8250041846 9.32819575   i    20
2051r2323 103.8250041846 9.32819575   r    20
2051g2323 103.8250041846 9.32819575   g    20
2081g2323 105.1824431176 6.65926302   g    20
2081r2323 105.1824431176 6.65926302   r    20
2081i2323 105.1824431176 6.65926302   i    20
2111i2323 106.5376108573 3.99278039   i    20
2111r2323 106.5376108573 3.99278039   r    20
2111g2323 106.5376108573 3.99278039   g    20
2141g2323 107.8963781778 1.3302442    g    20
2141r2323 107.8963781778 1.3302442    r    20
2141i2323 107.8963781778 1.3302442    i    20
2171i2323 109.2645692593 -1.32682329  i    20
2171r2323 109.2645692593 -1.32682329  r    20
2171g2323 109.2645692593 -1.32682329  g    20
2201g2323 110.6480488657 -3.97684893  g    20
2201r2323 110.6480488657 -3.97684893  r    20
2201i2323 110.6480488657 -3.97684893  i    20
2231i2323 112.0528079563 -6.61818287  i    20
2231r2323 112.0528079563 -6.61818287  r    20
2231g2323 112.0528079563 -6.61818287  g    20
2261g2323 113.4850499381 -9.2490713   g    20
