# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1317 93.4585000169  7.37689878   g    20
2020r1317 93.4585000169  7.37689878   r    20
2020i1317 93.4585000169  7.37689878   i    20
2050i1317 94.8695419856  4.73838752   i    20
2050r1317 94.8695419856  4.73838752   r    20
2050g1317 94.8695419856  4.73838752   g    20
2080g1317 96.2579744610  2.09069148   g    20
2080r1317 96.2579744610  2.09069148   r    20
2080i1317 96.2579744610  2.09069148   i    20
2110i1317 97.6298391839	 -0.56451246  i    20
2110r1317 97.6298391839	 -0.56451246  r    20
2110g1317 97.6298391839  -0.56451246  g    20
2140g1317 98.9910304922  -3.22563177  g    20
2140r1317 98.9910304922  -3.22563177  r    20
2140i1317 98.9910304922  -3.22563177  i	   20
2170i1317 100.3473810925 -5.8911321	  i    20
2170r1317 100.3473810925 -5.8911321	  r    20
2170g1317 100.3473810925 -5.8911321	  g    20
2200g1317 101.7047487654 -8.55951219  g    20
2200r1317 101.7047487654 -8.55951219  r    20
2200i1317 101.7047487654 -8.55951219  i    20
2230i1317 103.0691062184 -11.22927899 i    20
2230r1317 103.0691062184 -11.22927899 r    20
2230g1317 103.0691062184 -11.22927899 g    20
2260g1317 104.4466367117 -13.89892227 g    20
2260r1317 104.4466367117 -13.89892227 r    20
2260i1317 104.4466367117 -13.89892227 i    20
2290i1317 105.8438380104 -16.5668878  i    20
2290r1317 105.8438380104 -16.5668878  r    20
2290g1317 105.8438380104 -16.5668878  g    20
2320g1317 107.2676381593 -19.23154822 g    20
2320r1317 107.2676381593 -19.23154822 r    20
2320i1317 107.2676381593 -19.23154822 i    20
2321i1317 116.4583940353 -14.47179442 i    20
2321r1317 116.4583940353 -14.47179442 r    20
2321g1317 116.4583940353 -14.47179442 g    20
2291g1317 114.9512792316 -11.8676266  g    20
2291r1317 114.9512792316 -11.8676266  r    20
2291i1317 114.9512792316 -11.8676266  i    20
2261i1317 113.4850499381 -9.2490713   i    20
2261r1317 113.4850499381 -9.2490713   r    20
2261g1317 113.4850499381 -9.2490713   g    20
2231g1317 112.0528079563 -6.61818287  g    20
2231r1317 112.0528079563 -6.61818287  r    20
2231i1317 112.0528079563 -6.61818287  i    20
2201i1317 110.6480488657 -3.97684893  i    20
2201r1317 110.6480488657 -3.97684893  r    20
2201g1317 110.6480488657 -3.97684893  g    20
2171g1317 109.2645692593 -1.32682329  g    20
2171r1317 109.2645692593 -1.32682329  r    20
2171i1317 109.2645692593 -1.32682329  i    20
2141i1317 107.8963781778 1.3302442    i    20
2141r1317 107.8963781778 1.3302442    r    20
2141g1317 107.8963781778 1.3302442    g    20
2111g1317 106.5376108573 3.99278039	  g    20
2111r1317 106.5376108573 3.99278039	  r    20
2111i1317 106.5376108573 3.99278039	  i    20
2081i1317 105.1824431176 6.65926302	  i    20
2081r1317 105.1824431176 6.65926302	  r    20
2081g1317 105.1824431176 6.65926302	  g    20
2051g1317 103.8250041846 9.32819575	  g    20
2051r1317 103.8250041846 9.32819575	  r    20
2051i1317 103.8250041846 9.32819575	  i    20
2021i1317 102.4592856726 11.99808323  i    20
2021r1317 102.4592856726 11.99808323  r    20
2021g1317 102.4592856726 11.99808323  g    20
2021g2317 102.4592856726 11.99808323  g    20
2021r2317 102.4592856726 11.99808323  r    20
2021i2317 102.4592856726 11.99808323  i    20
2051i2317 103.8250041846 9.32819575   i    20
2051r2317 103.8250041846 9.32819575   r    20
2051g2317 103.8250041846 9.32819575   g    20
2081g2317 105.1824431176 6.65926302   g    20
2081r2317 105.1824431176 6.65926302   r    20
2081i2317 105.1824431176 6.65926302   i    20
2111i2317 106.5376108573 3.99278039   i    20
2111r2317 106.5376108573 3.99278039   r    20
2111g2317 106.5376108573 3.99278039   g    20
2141g2317 107.8963781778 1.3302442    g    20
2141r2317 107.8963781778 1.3302442    r    20
2141i2317 107.8963781778 1.3302442    i    20
2171i2317 109.2645692593 -1.32682329  i    20
2171r2317 109.2645692593 -1.32682329  r    20
2171g2317 109.2645692593 -1.32682329  g    20
2201g2317 110.6480488657 -3.97684893  g    20
2201r2317 110.6480488657 -3.97684893  r    20
2201i2317 110.6480488657 -3.97684893  i    20
2231i2317 112.0528079563 -6.61818287  i    20
2231r2317 112.0528079563 -6.61818287  r    20
2231g2317 112.0528079563 -6.61818287  g    20
2261g2317 113.4850499381 -9.2490713   g    20
2261r2317 113.4850499381 -9.2490713   r    20
2261i2317 113.4850499381 -9.2490713   i    20
2291i2317 114.9512792316 -11.8676266  i    20
2291r2317 114.9512792316 -11.8676266  r    20
2291g2317 114.9512792316 -11.8676266  g    20
2321g2317 116.4583940353 -14.47179442 g    20
2321r2317 116.4583940353 -14.47179442 r    20
2321i2317 116.4583940353 -14.47179442 i    20
2320i2317 107.2676381593 -19.23154822 i    20
2320r2317 107.2676381593 -19.23154822 r    20
2320g2317 107.2676381593 -19.23154822 g    20
2290g2317 105.8438380104 -16.5668878  g    20
2290r2317 105.8438380104 -16.5668878  r    20
2290i2317 105.8438380104 -16.5668878  i    20
2260i2317 104.4466367117 -13.89892227 i    20
2260r2317 104.4466367117 -13.89892227 r    20
2260g2317 104.4466367117 -13.89892227 g    20
2230g2317 103.0691062184 -11.22927899 g    20
2230r2317 103.0691062184 -11.22927899 r    20
2230i2317 103.0691062184 -11.22927899 i    20
2200i2317 101.7047487654 -8.55951219  i    20
2200r2317 101.7047487654 -8.55951219  r    20
2200g2317 101.7047487654 -8.55951219  g    20
2170g2317 100.3473810925 -5.8911321   g    20
2170r2317 100.3473810925 -5.8911321   r    20
2170i2317 100.3473810925 -5.8911321   i    20
2140i2317 98.9910304922  -3.22563177  i    20
2140r2317 98.9910304922  -3.22563177  r    20
2140g2317 98.9910304922  -3.22563177  g    20
2110g2317 97.6298391839  -0.56451246  g    20
2110r2317 97.6298391839  -0.56451246  r    20
2110i2317 97.6298391839  -0.56451246  i    20
2080i2317 96.2579744610  2.09069148   i    20
2080r2317 96.2579744610  2.09069148   r    20
2080g2317 96.2579744610  2.09069148   g    20
2050g2317 94.8695419856  4.73838752   g    20
2050r2317 94.8695419856  4.73838752   r    20
2050i2317 94.8695419856  4.73838752   i    20
2020i2317 93.4585000169  7.37689878   i    20
2020r2317 93.4585000169  7.37689878   r    20
2020g2317 93.4585000169  7.37689878   g    20
2020g3317 93.4585000169  7.37689878   g    20
2020r3317 93.4585000169  7.37689878   r    20
2020i3317 93.4585000169  7.37689878   i    20
2050i3317 94.8695419856  4.73838752   i    20
2050r3317 94.8695419856  4.73838752   r    20
2050g3317 94.8695419856  4.73838752   g    20
2080g3317 96.2579744610  2.09069148   g    20
2080r3317 96.2579744610  2.09069148   r    20
2080i3317 96.2579744610  2.09069148   i    20
2110i3317 97.6298391839  -0.56451246  i    20
2110r3317 97.6298391839  -0.56451246  r    20
2110g3317 97.6298391839  -0.56451246  g    20
2140g3317 98.9910304922  -3.22563177  g    20
2140r3317 98.9910304922  -3.22563177  r    20
2140i3317 98.9910304922  -3.22563177  i    20
2170i3317 100.3473810925 -5.8911321   i    20
2170r3317 100.3473810925 -5.8911321   r    20
2170g3317 100.3473810925 -5.8911321   g    20
2200g3317 101.7047487654 -8.55951219  g    20
2200r3317 101.7047487654 -8.55951219  r    20
2200i3317 101.7047487654 -8.55951219  i    20
2230i3317 103.0691062184 -11.22927899 i    20
2230r3317 103.0691062184 -11.22927899 r    20
2230g3317 103.0691062184 -11.22927899 g    20
2260g3317 104.4466367117 -13.89892227 g    20
2260r3317 104.4466367117 -13.89892227 r    20
2260i3317 104.4466367117 -13.89892227 i    20
2290i3317 105.8438380104 -16.5668878  i    20
2290r3317 105.8438380104 -16.5668878  r    20
2290g3317 105.8438380104 -16.5668878  g    20
2320g3317 107.2676381593 -19.23154822 g    20
2320r3317 107.2676381593 -19.23154822 r    20
2320i3317 107.2676381593 -19.23154822 i    20
2321i3317 116.4583940353 -14.47179442 i    20
2321r3317 116.4583940353 -14.47179442 r    20
2321g3317 116.4583940353 -14.47179442 g    20
2291g3317 114.9512792316 -11.8676266  g    20
2291r3317 114.9512792316 -11.8676266  r    20
2291i3317 114.9512792316 -11.8676266  i    20
2261i3317 113.4850499381 -9.2490713   i    20
2261r3317 113.4850499381 -9.2490713   r    20
2261g3317 113.4850499381 -9.2490713   g    20
2231g3317 112.0528079563 -6.61818287  g    20
2231r3317 112.0528079563 -6.61818287  r    20
2231i3317 112.0528079563 -6.61818287  i    20
2201i3317 110.6480488657 -3.97684893  i    20
2201r3317 110.6480488657 -3.97684893  r    20
2201g3317 110.6480488657 -3.97684893  g    20
2171g3317 109.2645692593 -1.32682329  g    20
2171r3317 109.2645692593 -1.32682329  r    20
2171i3317 109.2645692593 -1.32682329  i    20
2141i3317 107.8963781778 1.3302442    i    20
2141r3317 107.8963781778 1.3302442    r    20
2141g3317 107.8963781778 1.3302442    g    20
2111g3317 106.5376108573 3.99278039   g    20
2111r3317 106.5376108573 3.99278039   r    20
2111i3317 106.5376108573 3.99278039   i    20
2081i3317 105.1824431176 6.65926302   i    20
2081r3317 105.1824431176 6.65926302   r    20
2081g3317 105.1824431176 6.65926302   g    20
2051g3317 103.8250041846 9.32819575   g    20
2051r3317 103.8250041846 9.32819575   r    20
2051i3317 103.8250041846 9.32819575   i    20
2021i3317 102.4592856726 11.99808323  i    20
2021r3317 102.4592856726 11.99808323  r    20
2021g3317 102.4592856726 11.99808323  g    20
2021g4317 102.4592856726 11.99808323  g    20
2021r4317 102.4592856726 11.99808323  r    20
