# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1318 93.35766541    7.37689878     g    20
2020r1318 93.35766541    7.37689878     r    20
2020i1318 93.35766541    7.37689878     i    20
2050i1318 94.76919904    4.73838752     i    20
2050r1318 94.76919904    4.73838752     r    20
2050g1318 94.76919904    4.73838752     g    20
2080g1318 96.15790785    2.09069148     g    20
2080r1318 96.15790785    2.09069148     r    20
2080i1318 96.15790785    2.09069148     i    20
2110i1318 97.52983433    -0.56451246    i    20
2110r1318 97.52983433    -0.56451246    r    20
2110g1318 97.52983433    -0.56451246    g    20
2140g1318 98.89087181    -3.22563177    g    20
2140r1318 98.89087181    -3.22563177    r    20
2140i1318 98.89087181    -3.22563177    i    20
2170i1318 100.24685016   -5.8911321     i    20
2170r1318 100.24685016   -5.8911321     r    20
2170g1318 100.24685016   -5.8911321     g    20
2200g1318 101.6036224    -8.55951219    g    20
2200r1318 101.6036224    -8.55951219    r    20
2200i1318 101.6036224    -8.55951219    i    20
2230i1318 102.96715443   -11.22927899   i    20
2230r1318 102.96715443   -11.22927899   r    20
2230g1318 102.96715443   -11.22927899   g    20
2260g1318 104.3436205    -13.89892227   g    20
2260r1318 104.3436205    -13.89892227   r    20
2260i1318 104.3436205    -13.89892227   i    20
2290i1318 105.73950697   -16.5668878    i    20
2290r1318 105.73950697   -16.5668878    r    20
2290g1318 105.73950697   -16.5668878    g    20
2320g1318 107.16172785   -19.23154822   g    20
2320r1318 107.16172785   -19.23154822   r    20
2320i1318 107.16172785   -19.23154822   i    20
2321i1318 116.35511714   -14.47179442   i    20
2321r1318 116.35511714   -14.47179442   r    20
2321g1318 116.35511714   -14.47179442   g    20
2291g1318 114.84909508   -11.8676266    g    20
2291r1318 114.84909508   -11.8676266    r    20
2291i1318 114.84909508   -11.8676266    i    20
2261i1318 113.38373271   -9.2490713     i    20
2261r1318 113.38373271   -9.2490713     r    20
2261g1318 113.38373271   -9.2490713     g    20
2231g1318 111.95213711   -6.61818287    g    20
2231r1318 111.95213711   -6.61818287    r    20
2231i1318 111.95213711   -6.61818287    i    20
2201i1318 110.5478075    -3.97684893    i    20
2201r1318 110.5478075    -3.97684893    r    20
2201g1318 110.5478075    -3.97684893    g    20
2171g1318 109.16454244   -1.32682329    g    20
2171r1318 109.16454244   -1.32682329    r    20
2171i1318 109.16454244   -1.32682329    i    20
2141i1318 107.79635122   1.3302442      i    20
2141r1318 107.79635122   1.3302442      r    20
2141g1318 107.79635122   1.3302442      g    20
2111g1318 106.43736755   3.99278039     g    20
2111r1318 106.43736755   3.99278039     r    20
2111i1318 106.43736755   3.99278039     i    20
2081i1318 105.08176387   6.65926302     i    20
2081r1318 105.08176387   6.65926302     r    20
2081g1318 105.08176387   6.65926302     g    20
2051g1318 103.72366407   9.32819575     g    20
2051r1318 103.72366407   9.32819575     r    20
2051i1318 103.72366407   9.32819575     i    20
2021i1318 102.35705234   11.99808323    i    20
2021r1318 102.35705234   11.99808323    r    20
2021g1318 102.35705234   11.99808323    g    20
2021g2318 102.35705234   11.99808323    g    20
2021r2318 102.35705234   11.99808323    r    20
2021i2318 102.35705234   11.99808323    i    20
2051i2318 103.72366407   9.32819575     i    20
2051r2318 103.72366407   9.32819575     r    20
2051g2318 103.72366407   9.32819575     g    20
2081g2318 105.08176387   6.65926302     g    20
2081r2318 105.08176387   6.65926302     r    20
2081i2318 105.08176387   6.65926302     i    20
2111i2318 106.43736755   3.99278039     i    20
2111r2318 106.43736755   3.99278039     r    20
2111g2318 106.43736755   3.99278039     g    20
2141g2318 107.79635122   1.3302442      g    20
2141r2318 107.79635122   1.3302442      r    20
2141i2318 107.79635122   1.3302442      i    20
2171i2318 109.16454244   -1.32682329    i    20
2171r2318 109.16454244   -1.32682329    r    20
2171g2318 109.16454244   -1.32682329    g    20
2201g2318 110.5478075    -3.97684893    g    20
2201r2318 110.5478075    -3.97684893    r    20
2201i2318 110.5478075    -3.97684893    i    20
2231i2318 111.95213711   -6.61818287    i    20
2231r2318 111.95213711   -6.61818287    r    20
2231g2318 111.95213711   -6.61818287    g    20
2261g2318 113.38373271   -9.2490713     g    20
2261r2318 113.38373271   -9.2490713     r    20
2261i2318 113.38373271   -9.2490713     i    20
2291i2318 114.84909508   -11.8676266    i    20
2291r2318 114.84909508   -11.8676266    r    20
2291g2318 114.84909508   -11.8676266    g    20
2321g2318 116.35511714   -14.47179442   g    20
2321r2318 116.35511714   -14.47179442   r    20
2321i2318 116.35511714   -14.47179442   i    20
2320i2318 107.16172785   -19.23154822   i    20
2320r2318 107.16172785   -19.23154822   r    20
2320g2318 107.16172785   -19.23154822   g    20
2290g2318 105.73950697   -16.5668878    g    20
2290r2318 105.73950697   -16.5668878    r    20
2290i2318 105.73950697   -16.5668878    i    20
2260i2318 104.3436205    -13.89892227   i    20
2260r2318 104.3436205    -13.89892227   r    20
2260g2318 104.3436205    -13.89892227   g    20
2230g2318 102.96715443   -11.22927899   g    20
