# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1311 93.4585000169  7.37689878   g    20
2020r1311 93.4585000169  7.37689878   r    20
2020i1311 93.4585000169  7.37689878   i    20
2050i1311 94.8695419856  4.73838752   i    20
2050r1311 94.8695419856  4.73838752   r    20
2050g1311 94.8695419856  4.73838752   g    20
2080g1311 96.2579744610  2.09069148   g    20
2080r1311 96.2579744610  2.09069148   r    20
2080i1311 96.2579744610  2.09069148   i    20
2110i1311 97.6298391839	 -0.56451246  i    20
2110r1311 97.6298391839	 -0.56451246  r    20
2110g1311 97.6298391839  -0.56451246  g    20
2140g1311 98.9910304922  -3.22563177  g    20
2140r1311 98.9910304922  -3.22563177  r    20
2140i1311 98.9910304922  -3.22563177  i	   20
2170i1311 100.3473810925 -5.8911321	  i    20
2170r1311 100.3473810925 -5.8911321	  r    20
2170g1311 100.3473810925 -5.8911321	  g    20
2200g1311 101.7047487654 -8.55951219  g    20
2200r1311 101.7047487654 -8.55951219  r    20
2200i1311 101.7047487654 -8.55951219  i    20
2230i1311 103.0691062184 -11.22927899 i    20
2230r1311 103.0691062184 -11.22927899 r    20
2230g1311 103.0691062184 -11.22927899 g    20
2260g1311 104.4466367117 -13.89892227 g    20
2260r1311 104.4466367117 -13.89892227 r    20
2260i1311 104.4466367117 -13.89892227 i    20
2290i1311 105.8438380104 -16.5668878  i    20
2290r1311 105.8438380104 -16.5668878  r    20
2290g1311 105.8438380104 -16.5668878  g    20
2320g1311 107.2676381593 -19.23154822 g    20
2320r1311 107.2676381593 -19.23154822 r    20
2320i1311 107.2676381593 -19.23154822 i    20
2321i1311 116.4583940353 -14.47179442 i    20
2321r1311 116.4583940353 -14.47179442 r    20
2321g1311 116.4583940353 -14.47179442 g    20
2291g1311 114.9512792316 -11.8676266  g    20
2291r1311 114.9512792316 -11.8676266  r    20
2291i1311 114.9512792316 -11.8676266  i    20
2261i1311 113.4850499381 -9.2490713   i    20
2261r1311 113.4850499381 -9.2490713   r    20
2261g1311 113.4850499381 -9.2490713   g    20
2231g1311 112.0528079563 -6.61818287  g    20
2231r1311 112.0528079563 -6.61818287  r    20
2231i1311 112.0528079563 -6.61818287  i    20
2201i1311 110.6480488657 -3.97684893  i    20
2201r1311 110.6480488657 -3.97684893  r    20
2201g1311 110.6480488657 -3.97684893  g    20
2171g1311 109.2645692593 -1.32682329  g    20
2171r1311 109.2645692593 -1.32682329  r    20
2171i1311 109.2645692593 -1.32682329  i    20
2141i1311 107.8963781778 1.3302442    i    20
2141r1311 107.8963781778 1.3302442    r    20
2141g1311 107.8963781778 1.3302442    g    20
2111g1311 106.5376108573 3.99278039	  g    20
2111r1311 106.5376108573 3.99278039	  r    20
2111i1311 106.5376108573 3.99278039	  i    20
2081i1311 105.1824431176 6.65926302	  i    20
2081r1311 105.1824431176 6.65926302	  r    20
2081g1311 105.1824431176 6.65926302	  g    20
2051g1311 103.8250041846 9.32819575	  g    20
2051r1311 103.8250041846 9.32819575	  r    20
2051i1311 103.8250041846 9.32819575	  i    20
2021i1311 102.4592856726 11.99808323  i    20
2021r1311 102.4592856726 11.99808323  r    20
2021g1311 102.4592856726 11.99808323  g    20
2021g2311 102.4592856726 11.99808323  g    20
2021r2311 102.4592856726 11.99808323  r    20
2021i2311 102.4592856726 11.99808323  i    20
2051i2311 103.8250041846 9.32819575   i    20
2051r2311 103.8250041846 9.32819575   r    20
2051g2311 103.8250041846 9.32819575   g    20
2081g2311 105.1824431176 6.65926302   g    20
2081r2311 105.1824431176 6.65926302   r    20
2081i2311 105.1824431176 6.65926302   i    20
2111i2311 106.5376108573 3.99278039   i    20
2111r2311 106.5376108573 3.99278039   r    20
2111g2311 106.5376108573 3.99278039   g    20
2141g2311 107.8963781778 1.3302442    g    20
2141r2311 107.8963781778 1.3302442    r    20
2141i2311 107.8963781778 1.3302442    i    20
2171i2311 109.2645692593 -1.32682329  i    20
2171r2311 109.2645692593 -1.32682329  r    20
2171g2311 109.2645692593 -1.32682329  g    20
2201g2311 110.6480488657 -3.97684893  g    20
2201r2311 110.6480488657 -3.97684893  r    20
2201i2311 110.6480488657 -3.97684893  i    20
2231i2311 112.0528079563 -6.61818287  i    20
2231r2311 112.0528079563 -6.61818287  r    20
2231g2311 112.0528079563 -6.61818287  g    20
2261g2311 113.4850499381 -9.2490713   g    20
2261r2311 113.4850499381 -9.2490713   r    20
2261i2311 113.4850499381 -9.2490713   i    20
2291i2311 114.9512792316 -11.8676266  i    20
2291r2311 114.9512792316 -11.8676266  r    20
2291g2311 114.9512792316 -11.8676266  g    20
2321g2311 116.4583940353 -14.47179442 g    20
2321r2311 116.4583940353 -14.47179442 r    20
2321i2311 116.4583940353 -14.47179442 i    20
2320i2311 107.2676381593 -19.23154822 i    20
2320r2311 107.2676381593 -19.23154822 r    20
