# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1312 93.35766541    7.37689878     g    20
2020r1312 93.35766541    7.37689878     r    20
2020i1312 93.35766541    7.37689878     i    20
2050i1312 94.76919904    4.73838752     i    20
2050r1312 94.76919904    4.73838752     r    20
2050g1312 94.76919904    4.73838752     g    20
2080g1312 96.15790785    2.09069148     g    20
2080r1312 96.15790785    2.09069148     r    20
2080i1312 96.15790785    2.09069148     i    20
2110i1312 97.52983433    -0.56451246    i    20
2110r1312 97.52983433    -0.56451246    r    20
2110g1312 97.52983433    -0.56451246    g    20
2140g1312 98.89087181    -3.22563177    g    20
2140r1312 98.89087181    -3.22563177    r    20
2140i1312 98.89087181    -3.22563177    i    20
2170i1312 100.24685016   -5.8911321     i    20
2170r1312 100.24685016   -5.8911321     r    20
2170g1312 100.24685016   -5.8911321     g    20
2200g1312 101.6036224    -8.55951219    g    20
2200r1312 101.6036224    -8.55951219    r    20
2200i1312 101.6036224    -8.55951219    i    20
2230i1312 102.96715443   -11.22927899   i    20
2230r1312 102.96715443   -11.22927899   r    20
2230g1312 102.96715443   -11.22927899   g    20
2260g1312 104.3436205    -13.89892227   g    20
2260r1312 104.3436205    -13.89892227   r    20
2260i1312 104.3436205    -13.89892227   i    20
2290i1312 105.73950697   -16.5668878    i    20
2290r1312 105.73950697   -16.5668878    r    20
2290g1312 105.73950697   -16.5668878    g    20
2320g1312 107.16172785   -19.23154822   g    20
2320r1312 107.16172785   -19.23154822   r    20
2320i1312 107.16172785   -19.23154822   i    20
2321i1312 116.35511714   -14.47179442   i    20
2321r1312 116.35511714   -14.47179442   r    20
2321g1312 116.35511714   -14.47179442   g    20
2291g1312 114.84909508   -11.8676266    g    20
2291r1312 114.84909508   -11.8676266    r    20
2291i1312 114.84909508   -11.8676266    i    20
2261i1312 113.38373271   -9.2490713     i    20
2261r1312 113.38373271   -9.2490713     r    20
2261g1312 113.38373271   -9.2490713     g    20
2231g1312 111.95213711   -6.61818287    g    20
2231r1312 111.95213711   -6.61818287    r    20
2231i1312 111.95213711   -6.61818287    i    20
2201i1312 110.5478075    -3.97684893    i    20
2201r1312 110.5478075    -3.97684893    r    20
2201g1312 110.5478075    -3.97684893    g    20
2171g1312 109.16454244   -1.32682329    g    20
2171r1312 109.16454244   -1.32682329    r    20
2171i1312 109.16454244   -1.32682329    i    20
2141i1312 107.79635122   1.3302442      i    20
2141r1312 107.79635122   1.3302442      r    20
2141g1312 107.79635122   1.3302442      g    20
2111g1312 106.43736755   3.99278039     g    20
2111r1312 106.43736755   3.99278039     r    20
2111i1312 106.43736755   3.99278039     i    20
2081i1312 105.08176387   6.65926302     i    20
2081r1312 105.08176387   6.65926302     r    20
2081g1312 105.08176387   6.65926302     g    20
2051g1312 103.72366407   9.32819575     g    20
2051r1312 103.72366407   9.32819575     r    20
2051i1312 103.72366407   9.32819575     i    20
2021i1312 102.35705234   11.99808323    i    20
2021r1312 102.35705234   11.99808323    r    20
2021g1312 102.35705234   11.99808323    g    20
2021g2312 102.35705234   11.99808323    g    20
2021r2312 102.35705234   11.99808323    r    20
2021i2312 102.35705234   11.99808323    i    20
2051i2312 103.72366407   9.32819575     i    20
2051r2312 103.72366407   9.32819575     r    20
2051g2312 103.72366407   9.32819575     g    20
2081g2312 105.08176387   6.65926302     g    20
2081r2312 105.08176387   6.65926302     r    20
2081i2312 105.08176387   6.65926302     i    20
2111i2312 106.43736755   3.99278039     i    20
2111r2312 106.43736755   3.99278039     r    20
2111g2312 106.43736755   3.99278039     g    20
2141g2312 107.79635122   1.3302442      g    20
2141r2312 107.79635122   1.3302442      r    20
2141i2312 107.79635122   1.3302442      i    20
2171i2312 109.16454244   -1.32682329    i    20
2171r2312 109.16454244   -1.32682329    r    20
2171g2312 109.16454244   -1.32682329    g    20
2201g2312 110.5478075    -3.97684893    g    20
2201r2312 110.5478075    -3.97684893    r    20
2201i2312 110.5478075    -3.97684893    i    20
2231i2312 111.95213711   -6.61818287    i    20
2231r2312 111.95213711   -6.61818287    r    20
2231g2312 111.95213711   -6.61818287    g    20
2261g2312 113.38373271   -9.2490713     g    20
2261r2312 113.38373271   -9.2490713     r    20
