# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1315 93.4585000169  7.37689878   g    20
2020r1315 93.4585000169  7.37689878   r    20
2020i1315 93.4585000169  7.37689878   i    20
2050i1315 94.8695419856  4.73838752   i    20
2050r1315 94.8695419856  4.73838752   r    20
2050g1315 94.8695419856  4.73838752   g    20
2080g1315 96.2579744610  2.09069148   g    20
2080r1315 96.2579744610  2.09069148   r    20
2080i1315 96.2579744610  2.09069148   i    20
2110i1315 97.6298391839	 -0.56451246  i    20
2110r1315 97.6298391839	 -0.56451246  r    20
2110g1315 97.6298391839  -0.56451246  g    20
2140g1315 98.9910304922  -3.22563177  g    20
2140r1315 98.9910304922  -3.22563177  r    20
2140i1315 98.9910304922  -3.22563177  i	   20
2170i1315 100.3473810925 -5.8911321	  i    20
2170r1315 100.3473810925 -5.8911321	  r    20
2170g1315 100.3473810925 -5.8911321	  g    20
2200g1315 101.7047487654 -8.55951219  g    20
2200r1315 101.7047487654 -8.55951219  r    20
2200i1315 101.7047487654 -8.55951219  i    20
2230i1315 103.0691062184 -11.22927899 i    20
2230r1315 103.0691062184 -11.22927899 r    20
2230g1315 103.0691062184 -11.22927899 g    20
2260g1315 104.4466367117 -13.89892227 g    20
2260r1315 104.4466367117 -13.89892227 r    20
2260i1315 104.4466367117 -13.89892227 i    20
2290i1315 105.8438380104 -16.5668878  i    20
2290r1315 105.8438380104 -16.5668878  r    20
2290g1315 105.8438380104 -16.5668878  g    20
2320g1315 107.2676381593 -19.23154822 g    20
2320r1315 107.2676381593 -19.23154822 r    20
2320i1315 107.2676381593 -19.23154822 i    20
2321i1315 116.4583940353 -14.47179442 i    20
2321r1315 116.4583940353 -14.47179442 r    20
2321g1315 116.4583940353 -14.47179442 g    20
2291g1315 114.9512792316 -11.8676266  g    20
2291r1315 114.9512792316 -11.8676266  r    20
2291i1315 114.9512792316 -11.8676266  i    20
2261i1315 113.4850499381 -9.2490713   i    20
2261r1315 113.4850499381 -9.2490713   r    20
2261g1315 113.4850499381 -9.2490713   g    20
2231g1315 112.0528079563 -6.61818287  g    20
2231r1315 112.0528079563 -6.61818287  r    20
2231i1315 112.0528079563 -6.61818287  i    20
2201i1315 110.6480488657 -3.97684893  i    20
2201r1315 110.6480488657 -3.97684893  r    20
2201g1315 110.6480488657 -3.97684893  g    20
2171g1315 109.2645692593 -1.32682329  g    20
2171r1315 109.2645692593 -1.32682329  r    20
